GEO.id,GEO.id2,GEO.display+AC0-label,total+AF8-households,total+AF8-owners,total+AF8-renters
1400000US36005011502,36005011502,+ACI-Census Tract 115.02, Bronx County, New York+ACI-,1360,93,1267
1400000US36005011700,36005011700,+ACI-Census Tract 117, Bronx County, New York+ACI-,577,9,568
1400000US36005011800,36005011800,+ACI-Census Tract 118, Bronx County, New York+ACI-,1522,1118,404
1400000US36005011900,36005011900,+ACI-Census Tract 119, Bronx County, New York+ACI-,1943,98,1845
1400000US36005012101,36005012101,+ACI-Census Tract 121.01, Bronx County, New York+ACI-,869,141,728
1400000US36005012102,36005012102,+ACI-Census Tract 121.02, Bronx County, New York+ACI-,531,9,522
1400000US36005012300,36005012300,+ACI-Census Tract 123, Bronx County, New York+ACI-,1490,141,1349
1400000US36005012500,36005012500,+ACI-Census Tract 125, Bronx County, New York+ACI-,1372,204,1168
1400000US36005012701,36005012701,+ACI-Census Tract 127.01, Bronx County, New York+ACI-,760,81,679
1400000US36005012901,36005012901,+ACI-Census Tract 129.01, Bronx County, New York+ACI-,1350,51,1299
1400000US36005013000,36005013000,+ACI-Census Tract 130, Bronx County, New York+ACI-,462,263,199
1400000US36005013100,36005013100,+ACI-Census Tract 131, Bronx County, New York+ACI-,1561,189,1372
1400000US36005013200,36005013200,+ACI-Census Tract 132, Bronx County, New York+ACI-,2464,1594,870
1400000US36005013300,36005013300,+ACI-Census Tract 133, Bronx County, New York+ACI-,2250,158,2092
1400000US36005013500,36005013500,+ACI-Census Tract 135, Bronx County, New York+ACI-,1278,155,1123
1400000US36005013800,36005013800,+ACI-Census Tract 138, Bronx County, New York+ACI-,1212,857,355
1400000US36005014100,36005014100,+ACI-Census Tract 141, Bronx County, New York+ACI-,1928,122,1806
1400000US36005014300,36005014300,+ACI-Census Tract 143, Bronx County, New York+ACI-,442,14,428
1400000US36005014400,36005014400,+ACI-Census Tract 144, Bronx County, New York+ACI-,2161,243,1918
1400000US36005014500,36005014500,+ACI-Census Tract 145, Bronx County, New York+ACI-,2243,59,2184
1400000US36005014701,36005014701,+ACI-Census Tract 147.01, Bronx County, New York+ACI-,2003,7,1996
1400000US36005014702,36005014702,+ACI-Census Tract 147.02, Bronx County, New York+ACI-,1620,0,1620
1400000US36005014900,36005014900,+ACI-Census Tract 149, Bronx County, New York+ACI-,1415,71,1344
1400000US36005015100,36005015100,+ACI-Census Tract 151, Bronx County, New York+ACI-,1759,207,1552
1400000US36005015200,36005015200,+ACI-Census Tract 152, Bronx County, New York+ACI-,871,575,296
1400000US36005015300,36005015300,+ACI-Census Tract 153, Bronx County, New York+ACI-,1472,251,1221
1400000US36005015500,36005015500,+ACI-Census Tract 155, Bronx County, New York+ACI-,1090,80,1010
1400000US36005015700,36005015700,+ACI-Census Tract 157, Bronx County, New York+ACI-,1289,177,1112
1400000US36005015800,36005015800,+ACI-Census Tract 158, Bronx County, New York+ACI-,424,267,157
1400000US36005015900,36005015900,+ACI-Census Tract 159, Bronx County, New York+ACI-,641,12,629
1400000US36005016000,36005016000,+ACI-Census Tract 160, Bronx County, New York+ACI-,1526,791,735
1400000US36005016100,36005016100,+ACI-Census Tract 161, Bronx County, New York+ACI-,1751,32,1719
1400000US36005016200,36005016200,+ACI-Census Tract 162, Bronx County, New York+ACI-,554,309,245
1400000US36005016300,36005016300,+ACI-Census Tract 163, Bronx County, New York+ACI-,0,0,0
1400000US36005016400,36005016400,+ACI-Census Tract 164, Bronx County, New York+ACI-,360,228,132
1400000US36005016500,36005016500,+ACI-Census Tract 165, Bronx County, New York+ACI-,363,14,349
1400000US36005016600,36005016600,+ACI-Census Tract 166, Bronx County, New York+ACI-,742,529,213
1400000US36005016700,36005016700,+ACI-Census Tract 167, Bronx County, New York+ACI-,826,53,773
1400000US36005016900,36005016900,+ACI-Census Tract 169, Bronx County, New York+ACI-,453,59,394
1400000US36005017100,36005017100,+ACI-Census Tract 171, Bronx County, New York+ACI-,0,0,0
1400000US36005017300,36005017300,+ACI-Census Tract 173, Bronx County, New York+ACI-,2150,97,2053
1400000US36005017500,36005017500,+ACI-Census Tract 175, Bronx County, New York+ACI-,2452,69,2383
1400000US36005017701,36005017701,+ACI-Census Tract 177.01, Bronx County, New York+ACI-,1239,85,1154
1400000US36005017702,36005017702,+ACI-Census Tract 177.02, Bronx County, New York+ACI-,1627,182,1445
1400000US36005017901,36005017901,+ACI-Census Tract 179.01, Bronx County, New York+ACI-,1704,172,1532
1400000US36005017902,36005017902,+ACI-Census Tract 179.02, Bronx County, New York+ACI-,1114,0,1114
1400000US36005018101,36005018101,+ACI-Census Tract 181.01, Bronx County, New York+ACI-,968,160,808
1400000US36005018102,36005018102,+ACI-Census Tract 181.02, Bronx County, New York+ACI-,1621,56,1565
1400000US36005018301,36005018301,+ACI-Census Tract 183.01, Bronx County, New York+ACI-,1899,285,1614
1400000US36005018302,36005018302,+ACI-Census Tract 183.02, Bronx County, New York+ACI-,1252,39,1213
1400000US36005018400,36005018400,+ACI-Census Tract 184, Bronx County, New York+ACI-,1421,631,790
1400000US36005018500,36005018500,+ACI-Census Tract 185, Bronx County, New York+ACI-,2439,5,2434
1400000US36005018900,36005018900,+ACI-Census Tract 189, Bronx County, New York+ACI-,2879,205,2674
